Missed Bytes: 0, First Time: 5.616689682006836, Final Time: 5.617751121520996, RSSI Avg: -53.6015037593985, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.179791212081909, Final Time: 4.180934429168701, RSSI Avg: -56.38383838383838, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5763607025146484, Final Time: 2.5763607025146484, RSSI Avg: -63.36065573770492, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.220350503921509, Final Time: 4.220350503921509, RSSI Avg: -56.36, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.9323630332946777, Final Time: 3.9333605766296387, RSSI Avg: -57.043010752688176, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.621842622756958, Final Time: 5.621842622756958, RSSI Avg: -53.556390977443606, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.181119203567505, Final Time: 4.181501388549805, RSSI Avg: -56.313131313131315, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5702409744262695, Final Time: 2.5702409744262695, RSSI Avg: -63.24590163934426, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.230546474456787, Final Time: 4.2316412925720215, RSSI Avg: -56.23, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.9171812534332275, Final Time: 3.9171812534332275, RSSI Avg: -57.064516129032256, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.616679430007935, Final Time: 5.6173975467681885, RSSI Avg: -53.57142857142857, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.17725396156311, Final Time: 4.17725396156311, RSSI Avg: -56.36363636363637, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5792624950408936, Final Time: 2.580794095993042, RSSI Avg: -63.18032786885246, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
Missed Bytes: 0, First Time: 4.227879285812378, Final Time: 4.22857141494751, RSSI Avg: -56.28, SF: 7, BW: 500 frogeye_1005_5_3.jpeg
Missed Bytes: 0, First Time: 3.9295880794525146, Final Time: 3.9309308528900146, RSSI Avg: -57.29032258064516, SF: 7, BW: 500 frogeye_1005_5_4.jpeg
Missed Bytes: 0, First Time: 5.617974042892456, Final Time: 5.618585824966431, RSSI Avg: -53.99248120300752, SF: 7, BW: 500 frogeye_1005_3_4.jpeg
Missed Bytes: 0, First Time: 4.186439275741577, Final Time: 4.186439275741577, RSSI Avg: -56.85858585858586, SF: 7, BW: 500 frogeye_1005_4_4.jpeg
Missed Bytes: 0, First Time: 2.5687758922576904, Final Time: 2.5687758922576904, RSSI Avg: -62.885245901639344, SF: 7, BW: 500 frogeye_1005_5_1.jpeg
